,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
1991-04-03 00:00:00,5.51,16.59,3.45,20.53,7.91,1.24,10.77,378.94,8.03
1991-04-04 00:00:00,5.47,16.94,3.47,20.6,7.79,1.24,10.81,379.77,7.98
1991-04-05 00:00:00,5.45,16.44,3.42,20.44,7.67,1.2,10.54,375.36,7.97
1991-04-08 00:00:00,5.44,16.59,3.46,20.51,7.95,1.22,10.3,378.66,8.0
1991-04-09 00:00:00,5.4,16.29,3.44,20.2,7.85,1.2,10.26,373.56,7.91
1991-04-10 00:00:00,5.33,15.85,3.5,20.2,7.81,1.17,10.3,373.15,7.93
1991-04-11 00:00:00,5.3,16.83,3.51,20.08,7.99,1.21,10.46,377.63,8.09
1991-04-12 00:00:00,5.23,17.0,3.53,19.7,8.03,1.17,10.5,380.4,8.29
1991-04-15 00:00:00,5.5,14.75,3.56,19.4,7.96,1.24,10.62,381.19,8.26
1991-04-16 00:00:00,5.5,15.23,3.62,19.83,8.23,1.23,10.77,387.62,8.35
1991-04-17 00:00:00,5.72,14.99,3.63,19.94,8.17,1.22,10.62,390.45,8.35
1991-04-18 00:00:00,5.7,14.46,3.62,19.92,8.08,1.2,10.5,388.46,8.31
1991-04-19 00:00:00,5.66,14.13,3.59,19.88,7.98,1.17,10.42,384.2,8.35
1991-04-22 00:00:00,5.63,14.57,3.54,19.7,7.92,1.11,10.3,380.95,8.35
1991-04-23 00:00:00,5.73,14.57,3.52,19.67,7.86,1.11,10.34,381.76,8.45
1991-04-24 00:00:00,5.88,14.4,3.5,19.65,7.71,1.12,10.38,382.76,8.45
1991-04-25 00:00:00,5.73,13.86,3.45,19.61,7.8,1.1,10.18,379.25,8.21
1991-04-26 00:00:00,5.63,13.89,3.47,19.49,7.79,1.1,10.22,379.02,8.26
1991-04-29 00:00:00,5.68,13.8,3.38,19.04,7.78,1.07,9.67,373.66,8.21
1991-04-30 00:00:00,5.71,13.03,3.42,18.7,7.76,1.08,10.1,375.34,8.26
1991-05-01 00:00:00,5.92,11.2,3.5,18.88,7.9,1.1,10.42,380.29,8.38
1991-05-02 00:00:00,6.01,11.61,3.5,19.22,7.74,1.1,10.26,380.52,8.28
1991-05-03 00:00:00,5.97,11.61,3.51,18.81,7.74,1.11,10.06,380.8,8.22
1991-05-06 00:00:00,6.05,11.91,3.52,18.99,7.72,1.12,10.14,380.08,8.17
1991-05-07 00:00:00,5.99,12.0,3.53,18.71,7.73,1.11,10.02,377.32,8.09
1991-05-08 00:00:00,5.97,11.79,3.52,19.06,7.69,1.12,10.06,378.51,8.18
1991-05-09 00:00:00,6.0,12.03,3.56,19.45,7.82,1.15,10.22,383.25,8.37
1991-05-10 00:00:00,6.04,12.14,3.44,18.99,7.66,1.12,10.02,375.74,8.13
1991-05-13 00:00:00,5.86,12.5,3.45,19.45,7.64,1.13,10.22,376.76,8.07
1991-05-14 00:00:00,5.74,12.68,3.42,19.47,7.58,1.11,10.02,371.62,7.9
1991-05-15 00:00:00,5.63,11.97,3.42,18.87,7.53,1.07,9.9,368.57,7.92
1991-05-16 00:00:00,5.67,11.61,3.43,19.12,7.59,1.08,10.02,372.19,8.09
1991-05-17 00:00:00,5.57,11.14,3.45,19.06,7.42,1.08,9.94,372.39,8.14
1991-05-20 00:00:00,5.63,10.51,3.49,18.96,7.52,1.08,10.06,372.28,8.18
1991-05-21 00:00:00,5.72,10.75,3.51,18.64,7.72,1.11,10.3,375.35,8.28
1991-05-22 00:00:00,5.74,10.99,3.45,19.22,7.77,1.17,10.3,376.19,8.28
1991-05-23 00:00:00,5.66,10.72,3.49,19.22,7.72,1.2,10.02,374.96,8.25
1991-05-24 00:00:00,5.73,10.9,3.53,19.29,7.64,1.2,10.06,377.49,8.23
1991-05-28 00:00:00,5.99,10.93,3.58,19.31,7.78,1.21,10.22,381.94,8.23
1991-05-29 00:00:00,6.09,11.17,3.6,19.12,7.72,1.2,10.18,382.79,8.25
1991-05-30 00:00:00,6.04,11.32,3.69,19.17,7.59,1.2,10.02,386.96,8.21
1991-05-31 00:00:00,6.02,11.17,3.76,19.49,7.47,1.2,9.94,389.83,8.18
1991-06-03 00:00:00,6.06,11.7,3.77,19.54,7.29,1.22,9.78,388.06,8.27
1991-06-04 00:00:00,6.09,11.67,3.74,19.29,7.32,1.23,9.82,387.74,8.21
1991-06-05 00:00:00,6.05,11.4,3.68,18.96,7.3,1.22,9.71,385.09,8.13
1991-06-06 00:00:00,5.91,11.08,3.66,18.92,7.29,1.21,9.82,383.63,8.18
1991-06-07 00:00:00,5.82,10.96,3.6,18.73,7.15,1.2,9.74,379.43,8.07
1991-06-10 00:00:00,5.76,10.93,3.62,18.8,7.15,1.21,9.62,378.57,8.14
1991-06-11 00:00:00,5.68,10.6,3.66,18.78,7.16,1.21,9.7,381.05,8.21
1991-06-12 00:00:00,5.66,10.07,3.61,18.64,7.03,1.21,9.58,376.65,8.09
1991-06-13 00:00:00,5.66,10.01,3.64,18.48,7.0,1.21,9.54,377.63,8.13
1991-06-14 00:00:00,5.71,9.77,3.68,18.44,7.05,1.24,9.82,382.29,8.18
1991-06-17 00:00:00,5.83,9.98,3.63,18.28,7.03,1.24,9.82,380.13,8.07
1991-06-18 00:00:00,5.88,10.01,3.63,18.53,6.99,1.22,9.66,378.59,8.0
1991-06-19 00:00:00,5.88,9.92,3.6,18.55,6.9,1.13,9.5,375.09,8.0
1991-06-20 00:00:00,5.88,9.98,3.6,18.21,7.0,1.1,9.54,375.42,8.16
1991-06-21 00:00:00,5.85,9.98,3.65,18.3,7.05,1.12,9.54,377.75,8.21
1991-06-24 00:00:00,5.7,9.92,3.59,18.07,6.93,1.07,9.43,370.94,8.16
1991-06-25 00:00:00,5.64,10.07,3.58,18.25,6.91,1.08,9.15,370.65,8.21
1991-06-26 00:00:00,5.63,10.22,3.57,18.11,6.83,1.1,9.23,371.59,8.32
1991-06-27 00:00:00,5.74,10.1,3.63,17.93,6.94,1.11,9.27,374.4,8.28
1991-06-28 00:00:00,5.71,9.86,3.6,17.84,6.89,1.12,9.23,371.16,8.16
1991-07-01 00:00:00,5.65,10.1,3.64,18.07,6.97,1.17,9.27,377.92,8.41
1991-07-02 00:00:00,5.81,10.04,3.65,18.21,6.84,1.12,9.46,377.47,8.25
1991-07-03 00:00:00,5.74,10.25,3.6,18.02,6.76,1.05,9.35,373.33,8.06
1991-07-05 00:00:00,5.7,10.84,3.59,18.11,6.97,1.01,9.27,374.08,8.07
1991-07-08 00:00:00,5.78,11.11,3.64,18.46,7.02,1.1,9.46,377.94,8.21
1991-07-09 00:00:00,5.74,11.14,3.63,18.28,7.06,1.11,9.5,376.11,8.09
1991-07-10 00:00:00,5.75,11.23,3.61,18.14,7.13,1.07,9.11,375.74,8.06
1991-07-11 00:00:00,5.87,11.11,3.65,18.05,7.18,1.08,9.11,376.97,8.13
1991-07-12 00:00:00,5.96,11.11,3.66,18.25,7.19,1.11,9.23,380.25,8.25
1991-07-15 00:00:00,6.05,10.81,3.66,18.23,7.16,1.14,9.5,382.39,8.3
1991-07-16 00:00:00,6.04,10.39,3.59,17.75,7.23,1.11,9.62,381.54,8.28
1991-07-17 00:00:00,5.92,10.1,3.49,17.68,7.13,1.11,9.46,381.18,8.41
1991-07-18 00:00:00,6.05,10.66,3.56,18.05,7.25,1.1,9.46,385.37,8.41
1991-07-19 00:00:00,6.11,10.93,3.58,18.46,7.23,1.11,9.35,384.22,8.37
1991-07-22 00:00:00,6.05,10.93,3.56,18.73,7.24,1.11,9.23,382.88,8.35
1991-07-23 00:00:00,6.12,10.69,3.51,18.48,7.18,1.09,9.23,379.42,8.21
1991-07-24 00:00:00,5.98,10.69,3.47,18.51,7.15,1.07,9.43,378.64,8.27
1991-07-25 00:00:00,6.0,10.75,3.53,18.46,7.22,1.08,9.46,380.96,8.3
1991-07-26 00:00:00,6.01,10.66,3.54,18.46,7.25,1.16,9.39,380.93,8.25
1991-07-29 00:00:00,5.95,10.81,3.54,18.62,7.4,1.15,9.5,383.15,8.32
1991-07-30 00:00:00,5.99,11.05,3.56,18.67,7.49,1.19,10.02,386.69,8.35
1991-07-31 00:00:00,6.01,10.99,3.56,18.6,7.55,1.2,10.14,387.81,8.34
